Destination,IATA,ID DM,LIEN DM,,,,
Saint-Martin,SXM,k4HeRWa2Yg9MU3xDHHY,https://www.dailymotion.com/video/k4HeRWa2Yg9MU3xDHHY,,,,"""Saint-Martin""=>""k4HeRWa2Yg9MU3xDHHY"","
Abidjan,ABJ,k1KLsjjcOory3ZxDI85,https://www.dailymotion.com/video/k1KLsjjcOory3ZxDI85,,,,"""Abidjan""=>""k1KLsjjcOory3ZxDI85"","
Toulon,TLN,k2yywaqSdlawtNxDI88,https://www.dailymotion.com/video/k2yywaqSdlawtNxDI88,,,,"""Toulon""=>""k2yywaqSdlawtNxDI88"","
Toulouse,TLS,k78tF50M2wzJUAxDI7P,https://www.dailymotion.com/video/k78tF50M2wzJUAxDI7P,,,,"""Toulouse""=>""k78tF50M2wzJUAxDI7P"","
Tel Aviv,TLV,k59BDbn9L8uFjVxDI7R,https://www.dailymotion.com/video/k59BDbn9L8uFjVxDI7R,,,,"""Tel Aviv""=>""k59BDbn9L8uFjVxDI7R"","
Antananarivo ,TNR,k5DhQS7Ub4e6L1xDI7T,https://www.dailymotion.com/video/k5DhQS7Ub4e6L1xDI7T,,,,"""Antananarivo ""=>""k5DhQS7Ub4e6L1xDI7T"","
Taipei,TPE,k3uVbpUt072KNkxDI7V,https://www.dailymotion.com/video/k3uVbpUt072KNkxDI7V,,,,"""Taipei""=>""k3uVbpUt072KNkxDI7V"","
Tunis,TUN,k3Ahmcld6qwPIBxDI7X,https://www.dailymotion.com/video/k3Ahmcld6qwPIBxDI7X,,,,"""Tunis""=>""k3Ahmcld6qwPIBxDI7X"","
Tokyo,TYO,k2wIeh2WD7mDFqxDI7Z,https://www.dailymotion.com/video/k2wIeh2WD7mDFqxDI7Z,,,,"""Tokyo""=>""k2wIeh2WD7mDFqxDI7Z"","
Quito,UIO,k6XBJRBT9Y0GFuxDI80,https://www.dailymotion.com/video/k6XBJRBT9Y0GFuxDI80,,,,"""Quito""=>""k6XBJRBT9Y0GFuxDI80"","
Venise,VCE,keuSKAJggdP9erxDI83,https://www.dailymotion.com/video/keuSKAJggdP9erxDI83,,,,"""Venise""=>""keuSKAJggdP9erxDI83"","
Vienne,VIE,k75aEri8aVfH8TxDIi8,https://www.dailymotion.com/video/k75aEri8aVfH8TxDIi8,,,,"""Vienne""=>""k75aEri8aVfH8TxDIi8"","
Washington,WAS,kRUKi3ECowwbUbxDIib,https://www.dailymotion.com/video/kRUKi3ECowwbUbxDIib,,,,"""Washington""=>""kRUKi3ECowwbUbxDIib"","
Varsovie,WAW,x87y8kj,https://www.dailymotion.com/video/x87y8kj,,,,"""Varsovie""=>""x87y8kj"","
Montréal,YUL,k4UOtFxP7k0dHGxDIi1,https://www.dailymotion.com/video/k4UOtFxP7k0dHGxDIi1,,,,"""Montréal""=>""k4UOtFxP7k0dHGxDIi1"","
Toronto,YYZ,k4kEoenDAATtWLxDIi3,https://www.dailymotion.com/video/k4kEoenDAATtWLxDIi3,,,,"""Toronto""=>""k4kEoenDAATtWLxDIi3"","
Vancouver,YVR,k6GHnfarJzzXv1xDIi4,https://www.dailymotion.com/video/k6GHnfarJzzXv1xDIi4,,,,"""Vancouver""=>""k6GHnfarJzzXv1xDIi4"","
Zurich,ZRH,k1szkUctsvsP3AxDIi6,https://www.dailymotion.com/video/k1szkUctsvsP3AxDIi6,,,,"""Zurich""=>""k1szkUctsvsP3AxDIi6"","
